Date,Open,High,Low,Close,Volume,Adj Close
20140501  21:00:00,1470.75,1470.75,1470.75,1470.75,55,1470.75
20140501  22:00:00,1470.75,1470.75,1470.75,1470.75,0,1470.75
20140501  23:00:00,1471.25,1471.25,1470.25,1470.25,5,1471.05
20140502  00:00:00,1472.25,1475.25,1472.25,1475.25,14,1474.25
20140502  01:00:00,1474.0,1474.0,1473.75,1473.75,4,1473.875
20140502  02:00:00,1479.75,1479.75,1479.75,1479.75,1,1479.75
20140502  03:00:00,1482.75,1482.75,1481.25,1481.5,33,1481.9
20140502  04:00:00,1481.5,1482.0,1480.0,1480.0,12,1480.675
20140502  05:00:00,1478.5,1481.0,1478.5,1480.5,34,1479.925
20140502  06:30:00,1481.75,1483.75,1471.75,1476.25,285,1476.55
20140502  07:00:00,1477.75,1477.75,1472.0,1475.0,72,1474.025
20140502  08:00:00,1475.25,1476.0,1470.0,1470.0,120,1472.75
20140502  09:00:00,1470.0,1478.75,1470.0,1477.0,72,1475.125
20140502  10:00:00,1476.25,1478.75,1476.25,1478.75,64,1477.925
20140502  11:00:00,1478.75,1481.5,1478.5,1481.25,215,1479.6
20140504  17:00:00,1481.75,1483.5,1481.75,1483.5,6,1482.25
20140504  18:00:00,1484.0,1490.0,1484.0,1490.0,11,1488.25
20140504  19:00:00,1490.0,1490.0,1490.0,1490.0,0,1490.0
20140504  20:00:00,1486.75,1486.75,1486.0,1486.0,9,1486.075
20140504  21:00:00,1485.5,1486.25,1483.0,1483.0,5,1484.85
20140504  22:00:00,1483.5,1483.5,1483.25,1483.25,2,1483.375
20140504  23:00:00,1482.75,1482.75,1480.75,1480.75,7,1481.65
20140505  00:00:00,1480.75,1480.75,1480.75,1480.75,0,1480.75
20140505  01:00:00,1480.75,1480.75,1480.75,1480.75,0,1480.75
20140505  02:00:00,1480.75,1480.75,1480.75,1480.75,0,1480.75
20140505  03:00:00,1480.75,1480.75,1480.75,1480.75,0,1480.75
20140505  04:00:00,1480.75,1480.75,1480.75,1480.75,0,1480.75
20140505  05:00:00,1481.75,1481.75,1481.75,1481.75,1,1481.75
20140505  06:30:00,1483.75,1483.75,1471.75,1478.25,111,1478.1
20140505  07:00:00,1475.75,1478.25,1473.0,1476.5,259,1475.35
20140505  08:00:00,1475.75,1476.25,1473.0,1475.0,75,1474.325
20140505  09:00:00,1475.0,1475.75,1471.25,1471.25,112,1473.55
20140505  10:00:00,1472.0,1474.75,1472.0,1473.5,47,1473.8
20140505  11:00:00,1474.0,1474.25,1471.25,1471.75,44,1472.125
20140505  17:00:00,1470.0,1470.0,1465.25,1465.25,19,1468.775
20140505  18:00:00,1468.25,1468.25,1468.0,1468.0,2,1468.125
20140505  19:00:00,1468.0,1468.0,1468.0,1468.0,0,1468.0
20140505  20:00:00,1470.25,1470.25,1470.0,1470.0,2,1470.125
20140505  21:00:00,1470.25,1470.5,1470.25,1470.5,7,1470.475
20140505  22:00:00,1471.75,1471.75,1470.0,1470.0,8,1470.375
20140505  23:00:00,1469.0,1469.0,1467.5,1467.5,4,1468.375
20140506  00:00:00,1468.5,1468.5,1466.25,1466.25,42,1467.0
20140506  01:00:00,1466.0,1466.0,1460.0,1460.0,62,1461.725
20140506  02:00:00,1460.25,1460.25,1457.0,1457.0,76,1458.6
20140506  03:00:00,1457.0,1457.0,1456.5,1456.5,4,1456.875
20140506  04:00:00,1457.0,1459.0,1457.0,1457.75,18,1457.35
20140506  05:00:00,1458.25,1458.25,1457.0,1457.0,15,1457.725
20140506  06:30:00,1457.25,1460.25,1454.0,1460.25,278,1456.125
20140506  07:00:00,1457.25,1457.75,1451.5,1454.5,104,1454.125
20140506  08:00:00,1455.25,1460.0,1455.25,1460.0,67,1457.425
20140506  09:00:00,1462.5,1464.0,1458.0,1460.75,150,1461.75
20140506  10:00:00,1460.25,1466.75,1460.25,1463.25,187,1465.075
20140506  11:00:00,1463.25,1465.75,1462.0,1463.0,95,1464.125
20140506  17:00:00,1459.25,1459.25,1453.25,1453.25,108,1454.4
20140506  18:00:00,1455.0,1455.0,1455.0,1455.0,3,1455.0
20140506  19:00:00,1455.0,1455.0,1454.0,1454.0,49,1454.5
20140506  20:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140506  21:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140506  22:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140506  23:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140507  00:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140507  01:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140507  02:00:00,1454.0,1454.0,1454.0,1454.0,0,1454.0
20140507  03:00:00,1457.0,1457.25,1457.0,1457.25,5,1457.2
20140507  04:00:00,1455.75,1455.75,1455.25,1455.25,3,1455.575
20140507  05:00:00,1457.0,1457.0,1452.5,1452.5,32,1454.45
20140507  06:30:00,1452.0,1454.25,1448.0,1448.0,66,1450.7
20140507  07:00:00,1448.25,1455.0,1443.75,1455.0,383,1448.375
20140507  08:00:00,1455.25,1455.25,1446.75,1447.75,57,1450.55
20140507  09:00:00,1448.0,1451.75,1447.0,1451.75,23,1448.4
20140507  10:00:00,1451.75,1452.5,1449.0,1449.5,49,1450.175
20140507  11:00:00,1452.0,1452.0,1450.0,1450.0,86,1450.7
20140507  17:00:00,1451.0,1452.25,1451.0,1452.25,2,1451.625
20140507  18:00:00,1452.0,1452.0,1452.0,1452.0,3,1452.0
20140507  19:00:00,1455.75,1456.75,1455.75,1456.75,3,1456.425
20140507  20:00:00,1457.5,1457.5,1457.5,1457.5,2,1457.5
20140507  21:00:00,1457.5,1457.5,1457.5,1457.5,0,1457.5
20140507  22:00:00,1458.75,1458.75,1458.75,1458.75,1,1458.75
20140507  23:00:00,1458.75,1458.75,1458.75,1458.75,1,1458.75
20140508  00:00:00,1458.75,1458.75,1458.75,1458.75,0,1458.75
20140508  01:00:00,1458.75,1458.75,1458.75,1458.75,0,1458.75
20140508  02:00:00,1458.75,1458.75,1458.75,1458.75,0,1458.75
20140508  03:00:00,1459.0,1459.0,1459.0,1459.0,1,1459.0
20140508  04:00:00,1458.5,1458.5,1458.0,1458.0,2,1458.25
20140508  05:00:00,1457.25,1457.25,1454.25,1454.25,14,1456.825
20140508  06:30:00,1458.0,1466.25,1458.0,1465.25,95,1463.3
20140508  07:00:00,1466.0,1471.75,1466.0,1468.0,57,1469.025
20140508  08:00:00,1469.75,1471.0,1469.5,1471.0,51,1470.475
20140508  09:00:00,1473.25,1475.75,1471.5,1471.5,29,1474.475
20140508  10:00:00,1475.5,1475.5,1474.0,1474.0,10,1474.8
20140508  11:00:00,1473.5,1474.25,1471.5,1474.0,64,1472.075
20140508  18:00:00,1470.0,1470.0,1470.0,1470.0,3,1470.0
20140508  19:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140508  20:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140508  21:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140508  22:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140508  23:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140509  00:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140509  01:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140509  02:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140509  03:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140509  04:00:00,1470.0,1470.0,1470.0,1470.0,0,1470.0
20140509  05:00:00,1475.5,1475.5,1472.25,1472.25,19,1472.8
20140509  06:30:00,1473.75,1476.75,1472.0,1472.0,92,1475.55
20140509  07:00:00,1468.0,1470.25,1467.0,1470.0,28,1468.475
20140509  08:00:00,1468.0,1472.75,1468.0,1472.75,20,1470.375
20140509  09:00:00,1468.0,1484.5,1463.75,1483.75,98,1478.625
20140509  10:00:00,1490.75,1501.0,1489.25,1500.25,147,1496.9
20140509  11:00:00,1500.75,1504.5,1500.75,1501.5,24,1501.7
20140511  18:00:00,1497.25,1499.0,1497.25,1499.0,2,1498.125
20140511  19:00:00,1499.0,1499.0,1499.0,1499.0,0,1499.0
20140511  20:00:00,1501.0,1501.0,1501.0,1501.0,1,1501.0
20140511  21:00:00,1501.0,1501.0,1501.0,1501.0,0,1501.0
20140511  22:00:00,1501.0,1501.0,1501.0,1501.0,0,1501.0
20140511  23:00:00,1501.0,1501.0,1501.0,1501.0,0,1501.0
20140512  00:00:00,1501.0,1501.0,1501.0,1501.0,0,1501.0
20140512  01:00:00,1501.75,1501.75,1501.75,1501.75,2,1501.75
20140512  02:00:00,1503.5,1503.5,1503.5,1503.5,10,1503.5
20140512  03:00:00,1503.5,1503.5,1503.5,1503.5,0,1503.5
20140512  04:00:00,1504.5,1504.5,1504.5,1504.5,3,1504.5
20140512  05:00:00,1501.75,1501.75,1500.0,1500.0,3,1500.925
20140512  06:30:00,1499.0,1499.0,1488.25,1489.0,32,1493.4
20140512  07:00:00,1489.25,1490.75,1481.75,1481.75,82,1484.325
20140512  08:00:00,1484.0,1492.25,1484.0,1489.0,26,1488.825
20140512  09:00:00,1487.0,1488.75,1482.25,1482.25,39,1485.325
20140512  10:00:00,1483.25,1483.25,1481.25,1482.0,25,1482.0
20140512  11:00:00,1484.0,1484.75,1482.25,1483.0,23,1483.6
20140512  17:00:00,1484.0,1484.0,1480.0,1483.25,10,1481.575
20140512  18:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140512  19:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140512  20:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140512  21:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140512  22:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140512  23:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140513  00:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140513  01:00:00,1483.25,1483.25,1483.25,1483.25,0,1483.25
20140513  02:00:00,1495.0,1495.0,1495.0,1495.0,5,1495.0
20140513  03:00:00,1494.0,1494.0,1494.0,1494.0,1,1494.0
20140513  04:00:00,1492.75,1493.5,1492.75,1492.75,6,1492.875
20140513  05:00:00,1492.75,1492.75,1492.75,1492.75,0,1492.75
20140513  06:30:00,1488.0,1490.25,1488.0,1490.25,8,1488.65
20140513  07:00:00,1494.5,1504.25,1494.5,1502.0,29,1500.2
20140513  08:00:00,1498.0,1499.5,1495.75,1499.5,43,1498.025
20140513  09:00:00,1501.5,1501.75,1501.0,1501.75,19,1501.425
20140513  10:00:00,1501.5,1502.25,1500.0,1500.25,21,1501.3
20140513  11:00:00,1499.75,1504.25,1499.75,1502.75,24,1501.525
20140514  06:30:00,1503.75,1503.75,1499.0,1499.0,11,1500.675
20140514  07:00:00,1493.0,1494.0,1490.0,1490.0,34,1492.275
20140514  08:00:00,1486.0,1487.0,1486.0,1486.0,5,1486.2
20140514  09:00:00,1487.0,1497.5,1487.0,1497.5,22,1488.725
20140514  10:00:00,1497.5,1497.5,1497.5,1497.5,0,1497.5
20140514  11:00:00,1497.5,1497.5,1497.5,1497.5,0,1497.5
